Date,ORCL,TSLA,IBM,AAPL,MSFT
2021-01-04,63.75,729.77001953125,118.48948669433594,129.41000366210938,217.69000244140625
2021-01-05,62.959999084472656,735.1099853515625,120.59273529052734,131.00999450683594,217.89999389648438
2021-01-06,62.56999969482422,755.97998046875,123.60420989990234,126.5999984741211,212.25
2021-01-07,63.06999969482422,816.0399780273438,123.31739807128906,130.9199981689453,218.2899932861328
2021-01-08,63.380001068115234,880.02001953125,122.87763214111328,132.0500030517578,219.6199951171875
2021-01-11,63.029998779296875,811.1900024414062,122.92543029785156,128.97999572753906,217.49000549316406
2021-01-12,62.41999816894531,849.4400024414062,123.52772521972656,128.8000030517578,214.92999267578125
2021-01-13,62.060001373291016,854.4099731445312,121.33843231201172,130.88999938964844,216.33999633789062
2021-01-14,61.599998474121094,845.0,123.29827880859375,128.91000366210938,213.02000427246094
2021-01-15,61.779998779296875,826.1599731445312,122.74378967285156,127.13999938964844,212.64999389648438
2021-01-19,61.290000915527344,844.5499877929688,123.34607696533203,127.83000183105469,216.44000244140625
2021-01-20,61.560001373291016,850.4500122070312,124.35946655273438,132.02999877929688,224.33999633789062
2021-01-21,61.209999084472656,844.989990234375,125.86042022705078,136.8699951171875,224.97000122070312
2021-01-22,60.36000061035156,846.6400146484375,113.39388275146484,139.07000732421875,225.9499969482422
2021-01-25,60.900001525878906,880.7999877929688,113.36520385742188,142.9199981689453,229.52999877929688
2021-01-26,61.79999923706055,883.0900268554688,117.1032485961914,143.16000366210938,232.3300018310547
2021-01-27,62.54999923706055,864.1599731445312,117.0841293334961,142.05999755859375,232.89999389648438
2021-01-28,61.220001220703125,835.4299926757812,114.79923248291016,137.08999633789062,238.92999267578125
2021-01-29,60.43000030517578,793.530029296875,113.87189483642578,131.9600067138672,231.9600067138672
2021-02-01,61.5099983215332,839.8099975585938,115.23900604248047,134.13999938964844,239.64999389648438
2021-02-02,62.369998931884766,872.7899780273438,114.1873779296875,134.99000549316406,239.50999450683594
2021-02-03,62.16999816894531,854.6900024414062,113.88145446777344,133.94000244140625,243.0
2021-02-04,63.349998474121094,849.989990234375,115.6978988647461,137.38999938964844,242.00999450683594
2021-02-05,63.599998474121094,852.22998046875,116.43403625488281,136.75999450683594,242.1999969482422
2021-02-08,63.11000061035156,863.4199829101562,118.17399597167969,136.91000366210938,242.47000122070312
2021-02-09,63.66999816894531,849.4600219726562,116.73040008544922,136.00999450683594,243.77000427246094
2021-02-10,63.27000045776367,804.8200073242188,116.86424255371094,135.38999938964844,242.82000732421875
2021-02-11,62.70000076293945,811.6599731445312,115.59273529052734,135.1300048828125,244.49000549316406
2021-02-12,63.08000183105469,816.1199951171875,115.4875717163086,135.3699951171875,244.99000549316406
2021-02-16,62.13999938964844,796.219970703125,114.7896728515625,133.19000244140625,243.6999969482422
2021-02-17,62.09000015258789,798.1500244140625,114.69407653808594,130.83999633789062,244.1999969482422
2021-02-18,62.06999969482422,787.3800048828125,115.42064666748047,129.7100067138672,243.7899932861328
2021-02-19,61.130001068115234,781.2999877929688,113.75717163085938,129.8699951171875,240.97000122070312
2021-02-22,64.44999694824219,714.5,115.54492950439453,126.0,234.50999450683594
2021-02-23,64.5,698.8400268554688,115.40152740478516,125.86000061035156,233.27000427246094
2021-02-24,64.69999694824219,742.02001953125,117.79158782958984,125.3499984741211,234.5500030517578
2021-02-25,65.30000305175781,682.219970703125,117.0841293334961,120.98999786376953,228.99000549316406
2021-02-26,64.51000213623047,675.5,113.6998062133789,121.26000213623047,232.3800048828125
2021-03-01,66.16999816894531,718.4299926757812,115.43020629882812,127.79000091552734,236.94000244140625
2021-03-02,66.66000366210938,686.4400024414062,115.03823852539062,125.12000274658203,233.8699951171875
2021-03-03,66.91000366210938,653.2000122070312,116.97896575927734,122.05999755859375,227.55999755859375
2021-03-04,65.61000061035156,621.4400024414062,114.82791900634766,120.12999725341797,226.72999572753906
2021-03-05,69.97000122070312,597.9500122070312,117.42829895019531,121.41999816894531,231.60000610351562
2021-03-08,72.16000366210938,563.0,119.32122039794922,116.36000061035156,227.38999938964844
2021-03-09,72.63999938964844,673.5800170898438,118.71892547607422,121.08999633789062,233.77999877929688
2021-03-10,72.12000274658203,668.0599975585938,122.24665069580078,119.9800033569336,232.4199981689453
2021-03-11,67.41000366210938,699.5999755859375,121.54875946044922,121.95999908447266,237.1300048828125
2021-03-12,67.16000366210938,693.72998046875,121.99808502197266,121.02999877929688,235.75
2021-03-15,67.7300033569336,707.9400024414062,122.92543029785156,123.98999786376953,234.80999755859375
2021-03-16,66.8499984741211,676.8800048828125,122.60037994384766,125.56999969482422,237.7100067138672
2021-03-17,66.22000122070312,701.8099975585938,123.35564422607422,124.76000213623047,237.0399932861328
2021-03-18,66.73999786376953,653.1599731445312,124.34034729003906,120.52999877929688,230.72000122070312
2021-03-19,66.26000213623047,654.8699951171875,123.23136138916016,119.98999786376953,230.35000610351562
2021-03-22,66.31999969482422,670.0,124.80879211425781,123.38999938964844,235.99000549316406
2021-03-23,67.2699966430664,662.1599731445312,124.7227554321289,122.54000091552734,237.5800018310547
2021-03-24,66.83000183105469,630.27001953125,124.87571716308594,120.08999633789062,235.4600067138672
2021-03-25,68.62999725341797,640.3900146484375,127.21797180175781,120.58999633789062,232.33999633789062
2021-03-26,70.25,618.7100219726562,130.38241577148438,121.20999908447266,236.47999572753906
2021-03-29,71.12999725341797,611.2899780273438,129.88528442382812,121.38999938964844,235.24000549316406
2021-03-30,70.55000305175781,635.6199951171875,128.79541015625,119.9000015258789,231.85000610351562
